j,CONSONANT,TRUE,PALATAL,APPROXIMANT,TRUE,NONE
ʍ,CONSONANT,FALSE,LABIAL_VELAR,APPROXIMANT,TRUE,NONE
w,CONSONANT,TRUE,LABIAL_VELAR,APPROXIMANT,TRUE,NONE
ɰ,CONSONANT,TRUE,VELAR,APPROXIMANT,TRUE,NONE
l̥,CONSONANT,FALSE,ALVEOLAR,LAT_APPROXIMANT,TRUE,VOICELESS
l,CONSONANT,TRUE,ALVEOLAR,LAT_APPROXIMANT,TRUE,NONE
ɭ,CONSONANT,TRUE,RETROFLEX,LAT_APPROXIMANT,TRUE,NONE
ȴ,CONSONANT,TRUE,ALVEOLO_PALATAL,LAT_APPROXIMANT,TRUE,NONE
ʎ,CONSONANT,TRUE,PALATAL,LAT_APPROXIMANT,TRUE,NONE
ʟ,CONSONANT,TRUE,VELAR,LAT_APPROXIMANT,TRUE,NONE
ʘ,CONSONANT,FALSE,BILABIAL,CLICK,FALSE,NONE
ǀ,CONSONANT,FALSE,DENTAL,CLICK,FALSE,NONE
ǃ,CONSONANT,FALSE,ALVEOLAR,CLICK,FALSE,NONE
ǂ,CONSONANT,FALSE,POST_ALVEOLAR,CLICK,FALSE,NONE
ǁ,CONSONANT,FALSE,ALVEOLAR,LAT_CLICK,FALSE,NONE
i,VOWEL,TRUE,CLOSE,FRONT,FALSE,TRUE,NONE
y,VOWEL,TRUE,CLOSE,FRONT,TRUE,TRUE,NONE
ɨ,VOWEL,TRUE,CLOSE,CENTRAL,FALSE,TRUE,NONE
ʉ,VOWEL,TRUE,CLOSE,CENTRAL,TRUE,TRUE,NONE
ɯ,VOWEL,TRUE,CLOSE,BACK,FALSE,TRUE,NONE
u,VOWEL,TRUE,CLOSE,BACK,TRUE,TRUE,NONE
ɪ,VOWEL,TRUE,NEAR_CLOSE,FRONT,FALSE,FALSE,NONE
ʏ,VOWEL,TRUE,NEAR_CLOSE,FRONT,TRUE,FALSE,NONE
ʊ,VOWEL,TRUE,NEAR_CLOSE,BACK,TRUE,FALSE,NONE
e,VOWEL,TRUE,CLOSE_MID,FRONT,FALSE,TRUE,NONE
ø,VOWEL,TRUE,CLOSE_MID,FRONT,TRUE,TRUE,NONE
ɘ,VOWEL,TRUE,CLOSE_MID,CENTRAL,FALSE,TRUE,NONE
ɵ,VOWEL,TRUE,CLOSE_MID,CENTRAL,TRUE,TRUE,NONE
ɤ,VOWEL,TRUE,CLOSE_MID,BACK,FALSE,TRUE,NONE
o,VOWEL,TRUE,CLOSE_MID,BACK,TRUE,TRUE,NONE
e̞,VOWEL,TRUE,MID,FRONT,FALSE,TRUE,NONE
ø̞,VOWEL,TRUE,MID,FRONT,TRUE,TRUE,NONE
ə,VOWEL,TRUE,MID,CENTRAL,FALSE,FALSE,NONE
ɤ̞,VOWEL,TRUE,MID,BACK,FALSE,FALSE,NONE
o̞,VOWEL,TRUE,MID,BACK,TRUE,FALSE,NONE
ɛ,VOWEL,TRUE,OPEN_MID,FRONT,FALSE,FALSE,NONE
œ,VOWEL,TRUE,OPEN_MID,FRONT,TRUE,FALSE,NONE
ɜ,VOWEL,TRUE,OPEN_MID,CENTRAL,FALSE,FALSE,NONE
ɞ,VOWEL,TRUE,OPEN_MID,CENTRAL,TRUE,FALSE,NONE
ʌ,VOWEL,TRUE,OPEN_MID,BACK,FALSE,FALSE,NONE
ɔ,VOWEL,TRUE,OPEN_MID,BACK,TRUE,FALSE,NONE
æ,VOWEL,TRUE,NEAR_OPEN,FRONT,FALSE,FALSE,NONE
ɐ,VOWEL,TRUE,NEAR_OPEN,CENTRAL,FALSE,FALSE,NONe
a,VOWEL,TRUE,OPEN,FRONT,FALSE,FALSE,NONE
ɶ,VOWEL,TRUE,OPEN,FRONT,TRUE,FALSE,NONE
ä,VOWEL,TRUE,OPEN,CENTRAL,FALSE,FALSE,NONE
ɑ,VOWEL,TRUE,OPEN,BACK,FALSE,FALSE,NONE
ɒ,VOWEL,TRUE,OPEN,BACK,TRUE,FALSE,NONE
